step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
1040,0.775,0.6574999999999999,0.728,,,15.75046904315197
1050,,,,1.3464,5.5453805027725145e-05,15.900562851782365
1060,0.815,0.6249999999999999,0.7389999999999999,,,16.06003752345216
1080,0.8108179650238473,0.6487147716229348,0.7459766876634824,,,16.360225140712945
1100,,,,1.3222,5.1472129308443616e-05,16.660412757973734
1100,0.785,0.6499999999999999,0.7309999999999999,,,16.660412757973734
1120,0.8,0.6524999999999999,0.7409999999999999,,,16.96060037523452
1140,0.8,0.6424999999999998,0.7369999999999999,,,17.27016885553471
1150,,,,1.2981,4.7362212882288815e-05,17.420262664165104
1160,0.8157492988469929,0.6435397171969223,0.7468654661869647,,,17.570356472795496
1180,0.802,0.6374999999999998,0.7362,,,17.870544090056285
1200,,,,1.2666,4.316999827427154e-05,18.180112570356474
1200,0.815,0.6449999999999999,0.7469999999999999,,,18.180112570356474
1220,0.7758557136505114,0.6437990387113534,0.7230330436748482,,,18.48030018761726
1240,0.807,0.6599999999999998,0.7482,,,18.78048780487805
1250,,,,1.2093,3.894234797610907e-05,18.930581613508444
1260,0.8158066308930626,0.6536879306248514,0.7509591507857781,,,19.090056285178235
1280,0.772,0.6549999999999998,0.7252,,,19.390243902439025
1300,,,,1.1885,3.472652059586559e-05,19.690431519699814
1300,0.7958557136505113,0.6487990387113534,0.7370330436748481,,,19.690431519699814
1320,0.8008066308930626,0.6511879306248514,0.740959150785778,,,19.9906191369606
1340,0.765,0.6574999999999999,0.722,,,20.30018761726079
1350,,,,1.1711,3.0569642579622905e-05,20.45028142589118
1360,0.785,0.6549999999999998,0.7329999999999999,,,20.600375234521575
1380,0.7828424657534246,0.6537703252032518,0.7312136095333555,,,20.900562851782365
1400,,,,1.1462,2.651818141051833e-05,21.21013133208255
